codice_istat,comune,anno,tipo_struttura,cittadinanza,arrivi,presenze,permanenza_media,stato
017010,Bagolino,2023,Totale,Italiani,6169,26562,4.30,osservato
017010,Bagolino,2023,Totale,Stranieri,2573,11821,4.60,osservato
017010,Bagolino,2023,Totale,Totale,8742,38383,4.40,osservato
017010,Bagolino,2024,Es. Alberghieri,Italiani,,,,riservato
017010,Bagolino,2024,Es. Alberghieri,Stranieri,,,,riservato
017010,Bagolino,2024,Es. Alberghieri,Totale,,,,riservato
017010,Bagolino,2024,Es. Extra-Alberghieri,Italiani,,,,riservato
017010,Bagolino,2024,Es. Extra-Alberghieri,Stranieri,,,,riservato
017010,Bagolino,2024,Es. Extra-Alberghieri,Totale,,,,riservato
017010,Bagolino,2024,Totale,Italiani,7012,28734,4.10,osservato
017010,Bagolino,2024,Totale,Stranieri,2772,12802,4.62,osservato
017010,Bagolino,2024,Totale,Totale,9784,41536,4.25,osservato
017011,Barbariga,2020,Es. Alberghieri,Italiani,,,,riservato
017011,Barbariga,2020,Es. Alberghieri,Stranieri,,,,riservato
017011,Barbariga,2020,Es. Alberghieri,Totale,,,,riservato
017011,Barbariga,2020,Es. Extra-Alberghieri,Italiani,,,,riservato
017011,Barbariga,2020,Es. Extra-Alberghieri,Stranieri,,,,riservato
017011,Barbariga,2020,Es. Extra-Alberghieri,Totale,,,,riservato
017011,Barbariga,2020,Totale,Italiani,,,,riservato
017011,Barbariga,2020,Totale,Stranieri,,,,riservato
