codice_istat,comune,anno,sezione,nome_sezione,indicatore,valore
017003,Agnosine,2019,I,attività dei servizi di alloggio e di ristorazione,addetti,22.9
017003,Agnosine,2019,J,servizi di informazione e comunicazione,addetti,2.8
017003,Agnosine,2019,K,attività finanziarie e assicurative,addetti,7.9
017003,Agnosine,2019,L,attività immobiliari,addetti,9.0
017003,Agnosine,2019,M,"attività professionali, scientifiche e tecniche",addetti,16.0
017003,Agnosine,2019,N,"noleggio, agenzie di viaggio, servizi di supporto alle imprese",addetti,20.9
017003,Agnosine,2019,Q,sanità e assistenza sociale,addetti,7.2
017003,Agnosine,2019,R,"attività artistiche, sportive, di intrattenimento e divertimento",addetti,3.0
017003,Agnosine,2019,S,altre attività di servizi,addetti,8.4
017003,Agnosine,2020,C,attività manifatturiere,addetti,416.5
017003,Agnosine,2020,E,"fornitura di acqua reti fognarie, attività di gestione dei rifiuti e risanamento",addetti,26.2
017003,Agnosine,2020,F,costruzioni,addetti,36.7
