territorio,anno,indicatore,tipo_reato,codice_reato,valore
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",shop robbery,SHOPROB,11.50
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",shoplifting,SHOPTHEF,174.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",smuggling,SMUGGL,0.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",street robbery,STREETROB,25.80
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",swindles and cyber frauds,SWINCYB,173.70
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",terrorist homicides,TERRORHOM,0.00
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",thefts,THEFT,2593.70
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",total,TOT,5286.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of cargo trucks carrying freights,TRUCKTHEF,3.10
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",unintentional homicides,UNINTHOM,6.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",usury,USURY,0.60
ITC47,2008,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft from vehicle,VEHITHEF,510.30
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",arson,ARSON,10.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",theft of art objets,ARTTHEF,1.80
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attacks,ATTACK,0.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",attempted homicides,ATTEMPHOM,2.70
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bag-snatching,BAGTHEF,11.70
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",bank robbery,BANKROB,4.20
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",blows,BLOWS,38.50
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",burglary,BURGTHEF,324.50
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",car theft,CARTHEF,192.10
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",corruption of a minor,CORRUPUN18,0.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",counterfeiting of goods and industrial products,COUNTER,1.60
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",criminal association,CRIMASS,1.10
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",culpable injuries,CULPINJU,123.40
ITC47,2009,"crimes reported by the police forces to the judicial authority (per 100,000 population)",cybercrime,CYBERCRIM,9.10
